OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,INDN_IATAN_2,Generator,1313669,19646,Y,Iatan,2, ,INDN_INDN,Platte,MO,1719,588549,INDN_IATAN_2,20.800000000000001,17.920000000000002,23.109999999999999,0.000000000000000,39.447632000000056,-94.980060999999978
-1,INDN_INDN,Zone,1217935,19647,Y, , , ,INDN_INDN,Jackson,MO,-99,-99,INDN_INDN,24.149999999999999,21.420000000000002,26.340000000000000,0.000000000000000,39.078853000000038,-94.348930999999936
-1,INDN_MWE_SMKY2,Generator,1217940,19650,Y,Smoky Hills Wind Farm,WT1 56, ,INDN_INDN,Lincoln,KS,737336,737337,INDN_MWE_SMKY2,18.320000000000000,13.310000000000000,22.340000000000000,0.000000000000000,38.887910000000034,-98.196369999999945
-1,JONES_STREET_1,Generator,1171121,20352,Y,Jones St,1, ,OPPD_OPPD,Douglas,NE,1409,388169,JONES_STREET_1,21.079999999999998,18.489999999999998,23.140000000000001,0.000000000000000,41.251530000000059,-95.922696999999971
-1,JONES_STREET_2,Generator,1171122,20353,Y,Jones St,2, ,OPPD_OPPD,Douglas,NE,1409,388170,JONES_STREET_2,21.079999999999998,18.489999999999998,23.140000000000001,0.000000000000000,41.251530000000059,-95.922696999999971
-1,KACYBOWERSOCK,Generator,1916033,20437,Y,Kansas River,1, ,KACY_KACY,Douglas,KS,75237,387529,KACYBOWERSOCK,21.600000000000001,18.539999999999999,24.050000000000001,0.000000000000000,38.973496000000068,-95.235718999999960
-1,KACYCT4,Generator,887736,20440,Y,Nearman Creek,GT1, ,KACY_KACY,Wyandotte,KS,1718,745817,KACYCT4,23.800000000000001,20.899999999999999,26.120000000000001,0.000000000000000,39.171064000000058,-94.697161999999992
-1,KACYLFG,Generator,1313671,20456,Y,Oak Grove LFG,IC, ,KACY_KACY,Crawford,KS,1319546,1319551,KACYLFG,23.410000000000000,20.629999999999999,25.629999999999999,0.000000000000000,37.631922000000031,-94.642751999999973
-1,KACYNEARMANUN1,Generator,887735,20468,Y,Nearman Creek,ST1, ,KACY_KACY,Wyandotte,KS,1718,387452,KACYNEARMANUN1,23.800000000000001,20.899999999999999,26.120000000000001,0.000000000000000,39.171064000000058,-94.697161999999992
-1,KACYQUIND1UNGT2,Generator,887748,20480,Y,Quindaro,GT2, ,KACY_KACY,Wyandotte,KS,2457,393028,KACYQUIND1UNGT2,23.980000000000000,21.050000000000001,26.329999999999998,0.000000000000000,39.150840000000073,-94.636615999999947
-1,KACYQUIND1UNGT3,Generator,887749,20481,Y,Quindaro,GT3, ,KACY_KACY,Wyandotte,KS,2457,393029,KACYQUIND1UNGT3,23.850000000000001,20.949999999999999,26.170000000000002,0.000000000000000,39.150840000000073,-94.636615999999947
-1,KACYQUIND1UNST1,Generator,887750,20482,Y,Quindaro,ST1, ,KACY_KACY,Wyandotte,KS,2457,393030,KACYQUIND1UNST1,23.980000000000000,21.050000000000001,26.329999999999998,0.000000000000000,39.150840000000073,-94.636615999999947
-1,KACYQUIND1UNST2,Generator,887751,20483,Y,Quindaro,ST2, ,KACY_KACY,Wyandotte,KS,2457,393031,KACYQUIND1UNST2,23.850000000000001,20.949999999999999,26.170000000000002,0.000000000000000,39.150840000000073,-94.636615999999947
-1,KACYSMOKY1,Generator,1119715,20484,Y,Smoky Hills Wind Farm,WT1 56, ,KACY_KACY,Lincoln,KS,737336,737337,KACYSMOKY1,18.320000000000000,13.310000000000000,22.340000000000000,0.000000000000000,38.887910000000034,-98.196369999999945
-1,KACY_KACY,Zone,887704,20492,Y, , , ,KACY_KACY,Wyandotte,KS,-99,-99,KACY_KACY,23.920000000000002,21.000000000000000,26.260000000000002,0.000000000000000,39.122702000000061,-94.749186999999949
-1,KCPLBULLCRK5UNWGR1,Generator,887798,20610,Y,West Gardner,1, ,KCPL_KCPL,Johnson,KS,77191,586847,KCPLBULLCRK5UNWGR1,22.210000000000001,19.090000000000000,24.699999999999999,0.000000000000000,38.787877000000037,-94.985669999999971
-1,KCPLBULLCRK5UNWGR2,Generator,887799,20611,Y,West Gardner,2, ,KCPL_KCPL,Johnson,KS,77191,586848,KCPLBULLCRK5UNWGR2,22.210000000000001,19.090000000000000,24.699999999999999,0.000000000000000,38.787877000000037,-94.985669999999971
-1,KCPLBULLCRK5UNWGR3,Generator,887800,20612,Y,West Gardner,3, ,KCPL_KCPL,Johnson,KS,77191,594478,KCPLBULLCRK5UNWGR3,22.210000000000001,19.090000000000000,24.699999999999999,0.000000000000000,38.787877000000037,-94.985669999999971
-1,KCPLBULLCRK5UNWGR4,Generator,887801,20613,Y,West Gardner,4, ,KCPL_KCPL,Johnson,KS,77191,594479,KCPLBULLCRK5UNWGR4,22.210000000000001,19.090000000000000,24.699999999999999,0.000000000000000,38.787877000000037,-94.985669999999971
-1,KCPLHAWTHORN6,Generator,887854,20682,Y,Hawthorne (MO),6, ,KCPL_KCPL,Jackson,MO,1389,388106,KCPLHAWTHORN6,24.039999999999999,21.289999999999999,26.250000000000000,0.000000000000000,39.130465000000072,-94.478202999999951
-1,KCPLHAWTHORNUNHAW5,Generator,887853,20687,Y,Hawthorne (MO),5, ,KCPL_KCPL,Jackson,MO,1389,388105,KCPLHAWTHORNUNHAW5,24.039999999999999,21.289999999999999,26.250000000000000,0.000000000000000,39.130465000000072,-94.478202999999951
-1,KCPLHIGGINSVILLE,Generator,910708,20692,Y,Higginsville,4, ,KCPL_KCPL,Lafayette,MO,74909,397207,KCPLHIGGINSVILLE,24.730000000000000,21.940000000000001,27.039999999999999,0.000000000000000,39.072500000000048,-93.716899999999953
-1,KCPLIATANUNIAT1,Generator,887862,20699,Y,Iatan,1, ,KCPL_KCPL,Platte,MO,1719,386965,KCPLIATANUNIAT1,20.800000000000001,17.920000000000002,23.109999999999999,0.000000000000000,39.447632000000056,-94.980060999999978
-1,KCPLIATANUNIAT2,Generator,1313674,20700,Y,Iatan,2, ,KCPL_KCPL,Platte,MO,1719,588549,KCPLIATANUNIAT2,20.800000000000001,17.920000000000002,23.109999999999999,0.000000000000000,39.447632000000056,-94.980060999999978
-1,KCPLLACYGNEUNLAC1,Generator,887873,20715,Y,La Cygne,1, ,KCPL_KCPL,Linn,KS,2449,386966,KCPLLACYGNEUNLAC1,20.850000000000001,17.530000000000001,23.500000000000000,0.000000000000000,38.348148000000037,-94.644306999999969
-1,KCPLLACYGNEUNLAC2,Generator,887874,20716,Y,La Cygne,2, ,KCPL_KCPL,Linn,KS,2449,393001,KCPLLACYGNEUNLAC2,20.850000000000001,17.530000000000001,23.500000000000000,0.000000000000000,38.348148000000037,-94.644306999999969
